index speaker_id
134 8465
0 8425
1 8629
2 669
3 211
4 1263
5 2843
6 7113
215 1963
159 8238
178 40
8 7226
10 8014
11 6081
12 7302
13 3259
14 26
15 27
16 696
17 6000
18 6476
19 8098
78 7517
21 3857
22 405
23 403
173 5104
25 7511
241 5463
26 7190
185 2159
83 2384
29 2910
30 7800
31 3830
32 8226
34 1098
36 3486
37 6848
38 5750
40 125
42 5514
43 1069
44 1553
46 7447
47 6019
48 3242
45 4640
50 3240
51 6563
72 4137
53 4481
54 412
55 2416
49 4406
57 5393
133 3168
58 4898
77 198
60 1081
89 2289
62 311
9 2092
64 3947
65 6385
135 5339
67 89
68 6147
69 6454
70 1926
71 8324
52 7312
73 118
74 2989
75 831
79 839
80 5561
35 7635
82 6064
28 5688
86 911
93 441
88 426
61 587
91 298
142 3699
92 1334
87 302
90 4195
95 8095
96 445
97 307
98 5778
99 446
100 7059
101 5322
102 5678
103 2836
104 2764
105 8123
106 248
107 7780
203 1898
108 4813
109 39
110 6272
111 7148
112 4051
114 32
115 7278
116 909
117 1723
56 8975
120 1246
194 1743
122 6078
123 458
124 8051
125 6836
126 625
127 4267
128 8747
129 3807
130 332
131 60
76 8609
59 2196
41 6531
66 6925
136 8468
137 7859
138 7794
139 254
140 4340
141 6437
20 289
216 1447
249 1594
144 7264
199 4362
145 1737
146 5703
147 1502
148 730
242 1970
150 4788
113 3664
234 78
153 6367
149 6209
155 1034
157 3879
158 2817
63 196
160 3607
161 8770
162 5022
163 460
164 1355
165 3526
166 2182
174 163
235 4018
39 229
169 6529
170 226
171 1088
172 5652
151 5867
24 2952
84 3723
195 150
176 1992
177 4680
143 1624
179 19
180 4830
181 4214
94 2391
183 1183
184 2893
154 5789
186 1455
187 2518
188 8838
228 8063
214 5456
189 2514
190 8580
191 103
246 2007
192 1841
193 2691
121 7402
156 6818
197 887
226 250
27 2911
200 4088
182 3374
201 2436
202 3112
168 6880
204 83
239 4014
206 7178
221 233
208 2136
209 7078
210 5192
119 4160
212 6415
213 4297
7 3436
207 87
196 322
217 5808
218 6181
219 1116
220 328
118 374
223 201
224 200
225 5163
33 1867
227 3214
132 5390
230 8312
198 8108
229 8419
175 5049
231 3440
232 8630
233 481
152 8797
167 1040
236 4441
237 7067
238 1235
211 3235
240 8088
81 7367
205 4397
243 2002
244 7505
245 1578
222 1363
247 4859
248 4853
85 3982
250 3983
